Nrr1,Clsdt,Nrrdata,Nrrdaydt,Nrrwkdt,Nrrmtdt
NRI01,20051229,2.250000,0.006100,0.042800,0.185600
NRI01,20051230,2.250000,0.006100,0.042800,0.185600
NRI01,20051231,2.250000,0.006100,0.042800,0.185600
NRI01,20060101,2.250000,0.006100,0.042800,0.185600
NRI01,20060102,2.250000,0.006100,0.042800,0.185600
NRI01,20060103,2.250000,0.006100,0.042800,0.185600
NRI01,20060104,2.250000,0.006100,0.042800,0.185600
NRI01,20060105,2.250000,0.006100,0.042800,0.185600
NRI01,20060106,2.250000,0.006100,0.042800,0.185600
NRI01,20060107,2.250000,0.006100,0.042800,0.185600
NRI01,20060108,2.250000,0.006100,0.042800,0.185600
NRI01,20060109,2.250000,0.006100,0.042800,0.185600
NRI01,20060110,2.250000,0.006100,0.042800,0.185600
NRI01,20060111,2.250000,0.006100,0.042800,0.185600
NRI01,20060112,2.250000,0.006100,0.042800,0.185600
NRI01,20060113,2.250000,0.006100,0.042800,0.185600
NRI01,20060114,2.250000,0.006100,0.042800,0.185600
NRI01,20060115,2.250000,0.006100,0.042800,0.185600
NRI01,20060116,2.250000,0.006100,0.042800,0.185600
NRI01,20060117,2.250000,0.006100,0.042800,0.185600
NRI01,20060118,2.250000,0.006100,0.042800,0.185600
NRI01,20060119,2.250000,0.006100,0.042800,0.185600
NRI01,20060120,2.250000,0.006100,0.042800,0.185600
NRI01,20060121,2.250000,0.006100,0.042800,0.185600
NRI01,20060122,2.250000,0.006100,0.042800,0.185600
NRI01,20060123,2.250000,0.006100,0.042800,0.185600
NRI01,20060124,2.250000,0.006100,0.042800,0.185600
NRI01,20060125,2.250000,0.006100,0.042800,0.185600
NRI01,20060126,2.250000,0.006100,0.042800,0.185600
NRI01,20060127,2.250000,0.006100,0.042800,0.185600
NRI01,20060128,2.250000,0.006100,0.042800,0.185600
NRI01,20060129,2.250000,0.006100,0.042800,0.185600
NRI01,20060130,2.250000,0.006100,0.042800,0.185600
NRI01,20060131,2.250000,0.006100,0.042800,0.185600
NRI01,20060201,2.250000,0.006100,0.042800,0.185600
NRI01,20060202,2.250000,0.006100,0.042800,0.185600
NRI01,20060203,2.250000,0.006100,0.042800,0.185600
NRI01,20060204,2.250000,0.006100,0.042800,0.185600
NRI01,20060205,2.250000,0.006100,0.042800,0.185600
NRI01,20060206,2.250000,0.006100,0.042800,0.185600
NRI01,20060207,2.250000,0.006100,0.042800,0.185600
NRI01,20060208,2.250000,0.006100,0.042800,0.185600
NRI01,20060209,2.250000,0.006100,0.042800,0.185600
NRI01,20060210,2.250000,0.006100,0.042800,0.185600
NRI01,20060211,2.250000,0.006100,0.042800,0.185600
NRI01,20060212,2.250000,0.006100,0.042800,0.185600
NRI01,20060213,2.250000,0.006100,0.042800,0.185600
NRI01,20060214,2.250000,0.006100,0.042800,0.185600
NRI01,20060215,2.250000,0.006100,0.042800,0.185600
NRI01,20060216,2.250000,0.006100,0.042800,0.185600
NRI01,20060217,2.250000,0.006100,0.042800,0.185600
NRI01,20060218,2.250000,0.006100,0.042800,0.185600
NRI01,20060219,2.250000,0.006100,0.042800,0.185600
NRI01,20060220,2.250000,0.006100,0.042800,0.185600
NRI01,20060221,2.250000,0.006100,0.042800,0.185600
NRI01,20060222,2.250000,0.006100,0.042800,0.185600
NRI01,20060223,2.250000,0.006100,0.042800,0.185600
NRI01,20060224,2.250000,0.006100,0.042800,0.185600
NRI01,20060225,2.250000,0.006100,0.042800,0.185600
NRI01,20060226,2.250000,0.006100,0.042800,0.185600
NRI01,20060227,2.250000,0.006100,0.042800,0.185600
NRI01,20060228,2.250000,0.006100,0.042800,0.185600
NRI01,20060301,2.250000,0.006100,0.042800,0.185600
NRI01,20060302,2.250000,0.006100,0.042800,0.185600
NRI01,20060303,2.250000,0.006100,0.042800,0.185600
NRI01,20060304,2.250000,0.006100,0.042800,0.185600
NRI01,20060305,2.250000,0.006100,0.042800,0.185600
NRI01,20060306,2.250000,0.006100,0.042800,0.185600
NRI01,20060307,2.250000,0.006100,0.042800,0.185600
NRI01,20060308,2.250000,0.006100,0.042800,0.185600
NRI01,20060309,2.250000,0.006100,0.042800,0.185600
NRI01,20060310,2.250000,0.006100,0.042800,0.185600
NRI01,20060311,2.250000,0.006100,0.042800,0.185600
NRI01,20060312,2.250000,0.006100,0.042800,0.185600
NRI01,20060313,2.250000,0.006100,0.042800,0.185600
NRI01,20060314,2.250000,0.006100,0.042800,0.185600
NRI01,20060315,2.250000,0.006100,0.042800,0.185600
NRI01,20060316,2.250000,0.006100,0.042800,0.185600
NRI01,20060317,2.250000,0.006100,0.042800,0.185600
NRI01,20060318,2.250000,0.006100,0.042800,0.185600
NRI01,20060319,2.250000,0.006100,0.042800,0.185600
NRI01,20060320,2.250000,0.006100,0.042800,0.185600
NRI01,20060321,2.250000,0.006100,0.042800,0.185600
NRI01,20060322,2.250000,0.006100,0.042800,0.185600
NRI01,20060323,2.250000,0.006100,0.042800,0.185600
NRI01,20060324,2.250000,0.006100,0.042800,0.185600
NRI01,20060325,2.250000,0.006100,0.042800,0.185600
NRI01,20060326,2.250000,0.006100,0.042800,0.185600
NRI01,20060327,2.250000,0.006100,0.042800,0.185600
NRI01,20060328,2.250000,0.006100,0.042800,0.185600
NRI01,20060329,2.250000,0.006100,0.042800,0.185600
NRI01,20060330,2.250000,0.006100,0.042800,0.185600
NRI01,20060331,2.250000,0.006100,0.042800,0.185600
NRI01,20060401,2.250000,0.006100,0.042800,0.185600
NRI01,20060402,2.250000,0.006100,0.042800,0.185600
NRI01,20060403,2.250000,0.006100,0.042800,0.185600
NRI01,20060404,2.250000,0.006100,0.042800,0.185600
NRI01,20060405,2.250000,0.006100,0.042800,0.185600
NRI01,20060406,2.250000,0.006100,0.042800,0.185600
NRI01,20060407,2.250000,0.006100,0.042800,0.185600
NRI01,20060408,2.250000,0.006100,0.042800,0.185600
NRI01,20060409,2.250000,0.006100,0.042800,0.185600
NRI01,20060410,2.250000,0.006100,0.042800,0.185600
NRI01,20060411,2.250000,0.006100,0.042800,0.185600
NRI01,20060412,2.250000,0.006100,0.042800,0.185600
NRI01,20060413,2.250000,0.006100,0.042800,0.185600
NRI01,20060414,2.250000,0.006100,0.042800,0.185600
NRI01,20060415,2.250000,0.006100,0.042800,0.185600
