Indexcd,Trddt,Clsindex,Retindex
399108,20000330,93.221,0.027240
000001,20000331,1800.230,-0.005936
000002,20000331,1915.600,-0.006014
000003,20000331,41.850,0.002876
399001,20000331,4532.313,-0.010589
399106,20000331,560.985,-0.007340
399107,20000331,604.052,-0.007504
399108,20000331,93.969,0.008024
000001,20000403,1801.000,0.000428
000002,20000403,1916.210,0.000318
000003,20000403,42.480,0.015054
399001,20000403,4508.084,-0.005346
399106,20000403,557.907,-0.005487
399107,20000403,600.748,-0.005470
399108,20000403,93.309,-0.007024
000001,20000404,1760.690,-0.022382
000002,20000404,1873.280,-0.022404
000003,20000404,41.640,-0.019774
399001,20000404,4413.747,-0.020926
399106,20000404,545.432,-0.022360
399107,20000404,587.315,-0.022360
399108,20000404,93.309,0.000000
000001,20000405,1771.200,0.005969
000002,20000405,1884.600,0.006043
000003,20000405,41.500,-0.003362
399001,20000405,4442.218,0.006451
399106,20000405,549.628,0.007693
399107,20000405,592.098,0.008144
399108,20000405,90.235,-0.032944
000001,20000406,1809.140,0.021421
000002,20000406,1924.990,0.021432
000003,20000406,42.340,0.020241
399001,20000406,4527.666,0.019235
399106,20000406,561.426,0.021465
399107,20000406,604.819,0.021485
399108,20000406,92.014,0.019715
000001,20000407,1819.900,0.005948
000002,20000407,1936.510,0.005984
000003,20000407,42.370,0.000709
399001,20000407,4556.892,0.006455
399106,20000407,566.020,0.008183
399107,20000407,609.812,0.008255
399108,20000407,92.142,0.001391
000001,20000410,1826.060,0.003385
000002,20000410,1943.190,0.003450
000003,20000410,42.180,-0.004484
399001,20000410,4546.442,-0.002293
399106,20000410,569.805,0.006687
399107,20000410,613.951,0.006787
399108,20000410,91.888,-0.002757
000001,20000411,1821.170,-0.002678
000002,20000411,1937.850,-0.002748
000003,20000411,42.460,0.006638
399001,20000411,4595.070,0.010696
399106,20000411,568.492,-0.002304
399107,20000411,612.594,-0.002210
399108,20000411,90.862,-0.011166
000001,20000412,1807.330,-0.007600
000002,20000412,1923.120,-0.007601
000003,20000412,42.110,-0.008243
399001,20000412,4538.653,-0.012278
399106,20000412,563.591,-0.008621
399107,20000412,607.288,-0.008662
399108,20000412,90.432,-0.004732
000001,20000413,1831.550,0.013401
000002,20000413,1948.790,0.013348
000003,20000413,42.960,0.020185
399001,20000413,4601.474,0.013841
399106,20000413,569.557,0.010586
399107,20000413,613.701,0.010560
399108,20000413,91.601,0.012927
000001,20000414,1833.670,0.001157
000002,20000414,1951.090,0.001180
000003,20000414,42.880,-0.001862
399001,20000414,4619.186,0.003849
399106,20000414,568.876,-0.001196
399107,20000414,612.959,-0.001209
399108,20000414,91.625,0.000262
000001,20000417,1795.060,-0.021056
000002,20000417,1910.300,-0.020906
000003,20000417,41.180,-0.039646
399001,20000417,4544.482,-0.016173
399106,20000417,556.199,-0.022284
399107,20000417,599.362,-0.022183
399108,20000417,88.700,-0.031924
000001,20000418,1813.500,0.010273
000002,20000418,1929.880,0.010250
000003,20000418,41.720,0.013113
399001,20000418,4568.434,0.005271
399106,20000418,562.072,0.010559
399107,20000418,605.615,0.010433
399108,20000418,90.709,0.022649
000001,20000419,1828.710,0.008387
000002,20000419,1946.190,0.008451
000003,20000419,41.740,0.000479
399001,20000419,4574.250,0.001273
399106,20000419,565.455,0.006019
399107,20000419,609.199,0.005918
399108,20000419,92.141,0.015787
000001,20000420,1847.030,0.010018
000002,20000420,1965.830,0.010092
000003,20000420,41.780,0.000958
399001,20000420,4587.934,0.002992
399106,20000420,568.998,0.006266
399107,20000420,613.124,0.006443
399108,20000420,91.187,-0.010354
000001,20000421,1841.060,-0.003232
000002,20000421,1959.170,-0.003388
000003,20000421,42.490,0.016994
399001,20000421,4559.354,-0.006229
399106,20000421,565.270,-0.006552
399107,20000421,609.107,-0.006552
399108,20000421,91.187,0.000000
000001,20000424,1837.400,-0.001988
000002,20000424,1954.890,-0.002185
000003,20000424,43.460,0.022829
399001,20000424,4533.510,-0.005668
399106,20000424,562.362,-0.005144
399107,20000424,605.974,-0.005144
399108,20000424,91.187,0.000000
000001,20000425,1833.470,-0.002139
000002,20000425,1950.830,-0.002077
000003,20000425,43.040,-0.009664
399001,20000425,4528.921,-0.001012
399106,20000425,562.724,0.000644
399107,20000425,606.429,0.000751
399108,20000425,90.317,-0.009541
000001,20000426,1832.780,-0.000376
000002,20000426,1950.050,-0.000400
000003,20000426,43.140,0.002323
399001,20000426,4554.846,0.005724
399106,20000426,562.543,-0.000322
399107,20000426,606.264,-0.000272
399108,20000426,89.849,-0.005182
000001,20000427,1806.830,-0.014159
000002,20000427,1922.370,-0.014195
000003,20000427,42.720,-0.009736
399001,20000427,4553.952,-0.000196
399106,20000427,555.450,-0.012609
399107,20000427,598.572,-0.012688
399108,20000427,89.421,-0.004764
000001,20000428,1836.320,0.016321
000002,20000428,1953.870,0.016386
000003,20000428,43.100,0.008895
399001,20000428,4683.170,0.028375
399106,20000428,566.753,0.020349
399107,20000428,610.835,0.020487
399108,20000428,90.053,0.007068
000001,20000508,1836.640,0.000174
000002,20000508,1954.490,0.000317
000003,20000508,42.300,-0.018561
399001,20000508,4651.649,-0.006731
399106,20000508,567.484,0.001290
399107,20000508,611.755,0.001506
399108,20000508,88.197,-0.020610
000001,20000509,1806.640,-0.016334
000002,20000509,1922.670,-0.016280
000003,20000509,41.330,-0.022931
399001,20000509,4554.061,-0.020979
399106,20000509,559.405,-0.014237
399107,20000509,603.091,-0.014163
399108,20000509,86.301,-0.021497
000001,20000510,1752.690,-0.029862
000002,20000510,1864.890,-0.030052
000003,20000510,41.110,-0.005323
399001,20000510,4438.823,-0.025304
399106,20000510,540.753,-0.033343
399107,20000510,582.913,-0.033458
399108,20000510,84.456,-0.021379
000001,20000511,1724.050,-0.016341
000002,20000511,1834.230,-0.016441
000003,20000511,40.960,-0.003649
399001,20000511,4367.384,-0.016094
399106,20000511,529.321,-0.021141
399107,20000511,570.590,-0.021140
399108,20000511,84.456,0.000000
000001,20000512,1720.610,-0.001995
000002,20000512,1830.490,-0.002039
000003,20000512,41.110,0.003662
399001,20000512,4378.451,0.002534
399106,20000512,529.262,-0.000111
399107,20000512,570.506,-0.000147
399108,20000512,84.745,0.003422
000001,20000515,1704.590,-0.009311
000002,20000515,1813.210,-0.009440
000003,20000515,41.380,0.006568
399001,20000515,4296.919,-0.018621
399106,20000515,522.222,-0.013302
399107,20000515,562.814,-0.013483
