,timestamp,title,url
FIN_zcgg_106,2020-02-01,五部门联合印发通知进一步强化金融对疫情防控工作的支持,http://jrs.mof.gov.cn/zhengcefabu/202002/t20200201_3464819.htm
FIN_zcgg_107,2020-01-23,国有农用地出租等增值税政策明确,http://szs.mof.gov.cn/zhengcefabu/202001/t20200122_3463283.htm
FIN_zcgg_108,2020-01-23,《改善普通高中学校办学条件补助资金管理办法》修订印发,http://jkw.mof.gov.cn/zhengcefabu/202001/t20200122_3463445.htm
FIN_zcgg_109,2020-01-23,《特殊教育补助资金管理办法》印发,http://jkw.mof.gov.cn/zhengcefabu/202001/t20200122_3463441.htm
FIN_zcgg_110,2020-01-22,境外所得有关个人所得税政策明确,http://szs.mof.gov.cn/zhengcefabu/202001/t20200122_3463137.htm
FIN_zcgg_111,2020-01-22,《现代职业教育质量提升计划资金管理办法》印发,http://jkw.mof.gov.cn/zhengcefabu/202001/t20200121_3462839.htm
FIN_zcgg_112,2020-01-19,《地方财政管理工作考核与激励办法》印发,http://yss.mof.gov.cn/zhengceguizhang/202001/t20200117_3460945.htm
FIN_zcgg_113,2020-01-15,《金融机构国有股权董事管理暂行办法》印发,http://jrs.mof.gov.cn/zhengcefabu/202001/t20200114_3458879.htm
FIN_zcgg_114,2020-01-13,《国家标准制修订经费管理办法》修订印发,http://xzzf.mof.gov.cn/zcfbyjd/202001/t20200110_3457462.htm
FIN_zcgg_115,2020-01-10,《国家科学技术奖励绩效评价暂行办法》印发,http://jkw.mof.gov.cn/zhengcefabu/202001/t20200109_3457033.htm
FIN_zcgg_116,2020-01-03,《中央财政科技计划（专项、基金等）后补助管理办法》印发,http://jkw.mof.gov.cn/zhengcefabu/202001/t20200102_3453827.htm
FIN_zcgg_117,2019-12-30,国务院关税税则委员会关于发布《中华人民共和国进出口税则（2020）》的公告,http://gss.mof.gov.cn/gzdt/zhengcefabu/201912/t20191230_3452186.htm
FIN_zcgg_118,2019-12-30,国务院关税税则委员会调整部分本国子目注释,http://gss.mof.gov.cn/gzdt/zhengcefabu/201912/t20191230_3452187.htm
FIN_zcgg_119,2019-12-27,《政府会计准则制度解释第2号》印发,http://kjs.mof.gov.cn/zhengcefabu/201912/t20191225_3449679.htm
FIN_zcgg_120,2019-12-25,《碳排放权交易有关会计处理暂行规定》印发,http://kjs.mof.gov.cn/zhengcefabu/201912/t20191223_3448268.htm
FIN_zcgg_121,2019-12-25,《事业单位成本核算基本指引》印发,http://kjs.mof.gov.cn/zhengcefabu/201912/t20191225_3449680.htm
FIN_zcgg_122,2019-12-24,《政府会计准则第10号——政府和社会资本合作项目合同》印发,http://kjs.mof.gov.cn/zhengcefabu/201912/t20191223_3448588.htm
FIN_zcgg_123,2019-12-23,国务院关税税则委员会关于2020年进口暂定税率等调整方案的通知,http://gss.mof.gov.cn/gzdt/zhengcefabu/201912/t20191220_3447086.htm
FIN_zcgg_124,2019-12-19,国务院关税税则委员会关于第一批对美加征关税商品第二次排除清单的公告,http://www.mof.gov.cn/zhengwuxinxi/zhengcefabu/201912/t20191219_3444518.htm
FIN_zcgg_125,2019-12-16,《企业会计准则解释第13号》印发,http://kjs.mof.gov.cn/zhengcefabu/201912/t20191213_3441493.htm
FIN_zcgg_126,2019-12-15,国务院关税税则委员会关于暂不实施对原产于美国的部分进口商品加征关税措施的公告,http://gss.mof.gov.cn/gzdt/zhengcefabu/201912/t20191215_3441954.htm
FIN_zcgg_127,2019-12-14,关于个人所得税综合所得汇算清缴涉及有关政策问题的公告,http://szs.mof.gov.cn/zhengcefabu/201912/t20191213_3441430.htm
FIN_zcgg_128,2019-12-12,国有金融企业增资扩股股权管理有关问题明确,http://jrs.mof.gov.cn/zhengcefabu/201912/t20191211_3439921.htm
