,China News-Based EPU,CNEPU,CN_Fiscal,CN_Monetary,CN_Trade,CN_EXR
2003-10-01,106.51363372802734,83.45893128464431,60.0384062780394,48.2400741689247,57.8117068629309,65.3866283583609
2003-11-01,37.159305572509766,66.16454100769252,52.1633165542002,50.5707170950594,71.9319437934669,41.0998289879058
2003-12-01,97.13572692871094,103.80778698380496,52.9499466935838,37.908968935447,53.9986470901742,58.1943288961258
2004-01-01,101.15840148925781,53.356679367953134,75.4363811596637,46.5303602903783,74.353420502763,67.4425099453744
2004-02-01,46.903831481933594,75.35917908179572,46.4438055402789,34.6824270882514,76.2156541460834,45.816462452714
2004-03-01,85.35299682617188,68.45112216698132,47.3483016888307,44.4028452235097,50.737857294082,53.7403884143915
2004-04-01,43.165828704833984,80.59110102685743,37.5819569077188,47.8982954888704,64.9843916831952,57.0224168377574
2004-05-01,137.98719787597656,71.72431549485513,25.4206895871854,33.4820867192607,48.4624864116269,33.5087985598032
2004-06-01,59.12108612060547,65.18704995468939,30.0442440729454,47.2789310417041,46.2052782691247,25.2597148749098
2004-07-01,50.486961364746094,47.781656146387476,28.0987646089811,40.8046072713696,24.9991779101651,26.968527665685
2004-08-01,88.03998565673828,94.03885659325849,37.3069263412148,61.1506705519399,90.1937747436866,41.1288681321776
2004-09-01,92.03104400634766,68.40869767199207,30.5415614784464,38.2739415119617,59.4669275272384,34.85802658756
2004-10-01,107.50051879882812,112.94631748140829,47.5595992703924,84.0099445203253,54.3069234512335,66.267201689369
2004-11-01,93.9905014038086,78.46314564802613,55.2678558737503,68.5634017884265,78.5725617289342,79.1775724266567
2004-12-01,96.87821197509766,95.64116969217243,75.0937431996138,72.0926912943158,109.111603212258,67.6170121742468
2005-01-01,75.73043823242188,80.11362478233909,43.9475786377277,73.820794364358,129.531456833195,72.3228470763585
2005-02-01,32.59744644165039,85.3484477119903,58.559075864752,52.546718636956,72.7555897684434,43.3015334492443
2005-03-01,99.00125122070312,74.22025555527095,68.2265281415802,50.1139991479754,72.1132386728812,41.6653638075529
2005-04-01,50.36788558959961,70.88248107551459,43.9379039052522,51.5494556301595,48.6913472028713,49.6866596085491
2005-05-01,105.35016632080078,75.73495560767016,35.3976504305722,50.3453742626357,68.5668656348227,71.3196092973059
2005-06-01,42.972259521484375,79.86511946633844,67.5124888828483,48.9863572524052,70.4158253574507,62.5954807749362
2005-07-01,35.55521011352539,90.62663070647875,42.0313783103124,81.1259472152348,194.494367609277,116.813015000081
2005-08-01,92.99913787841797,91.96678342049144,44.1492324313211,57.2196428490511,83.5456341750248,76.0134719919396
2005-09-01,68.26113891601562,63.06393656998556,34.576516482114,46.176940509768,57.2370418806457,30.6892313692179
2005-10-01,32.72947692871094,78.37775726426281,98.2643300973209,67.6014148028142,140.770599847979,86.7545359927479
2005-11-01,86.75798034667969,79.79138004604593,31.0568858991031,46.645740460923,88.1473767402908,53.688281264539
2005-12-01,57.220211029052734,82.98465558173963,78.1320953812492,69.3667623855278,91.5128142083823,71.8498185557364
2006-01-01,83.60843658447266,71.65682532441164,54.3872568398246,75.6879235438564,78.7315717211919,78.3917118105896
2006-02-01,64.71510314941406,85.82757388701502,68.1562681557901,56.9190387935752,97.3505959034214,83.2397450182613
2006-03-01,84.22509765625,79.30548234189334,55.2925424151612,37.4881870466416,68.6621254450823,43.8828048801897
2006-04-01,133.50469970703125,86.78188219500245,48.1149962737571,43.0808651800187,55.7912515156122,61.6549527553505
2006-05-01,66.02268981933594,105.2569138283126,183.880195981076,55.8332546417287,246.012241539775,69.5888498060664
2006-06-01,110.92434692382812,52.19576461581136,50.0963123744192,61.8632309515971,46.840599786541,46.9991199543396
2006-07-01,42.70708465576172,106.33428035364396,45.1571715179789,69.5469424974267,77.74273553621,90.6585841110576
2006-08-01,36.35945510864258,70.76878660099064,45.9295938223549,57.2407718675578,50.3071179773876,77.9932409392022
2006-09-01,71.51866149902344,61.43328277745336,39.2271857871995,30.4062743003597,65.4030427518156,58.7814509255447
2006-10-01,74.1251449584961,74.40603586197534,60.3078113979758,53.8620990065745,87.9961717064459,66.3283403732759
2006-11-01,43.895904541015625,66.29794414747815,38.2359951134893,37.6990563969902,57.0406157416118,58.9916606404294
2006-12-01,67.67839050292969,75.56307402799487,66.1322259362492,49.7347790900005,76.8277655455183,72.5176493644864
2007-01-01,80.17083740234375,73.61972064276591,79.8284630515393,57.9333876160386,85.4057429401194,105.922069515066
2007-02-01,64.65911865234375,86.8002092343727,63.4779668392849,63.4755006330644,59.5526539337201,104.300467464193
2007-03-01,70.07432556152344,78.48841133391164,81.2607936473097,84.3958320279513,102.404345856545,95.6003787729027
2007-04-01,68.33134460449219,74.48311329647574,47.4812303893961,55.3625387541444,52.0086388059324,65.3077540470225
2007-05-01,47.791526794433594,74.0531305569804,46.915064526397,93.5948972882118,61.5709334710116,129.079489237747
2007-06-01,77.08946228027344,99.37622426243801,102.236063932901,90.1248359121919,94.8150950228116,112.685678454746
2007-07-01,136.7205810546875,88.84881147518111,168.310887568461,110.585918850854,98.270485916962,168.420515285248
2007-08-01,56.73624038696289,108.38134212673123,98.4284953477079,130.496387479845,46.3071131079442,129.505609972693
2007-09-01,90.57120513916016,93.96629215113404,89.4050640701365,116.64963872939,71.1300204479056,109.664857056394
2007-10-01,92.5426025390625,81.69049608174197,31.9919569303438,105.505564797105,106.793774542469,133.616943314013
2007-11-01,108.428466796875,99.93137946632098,65.8806152369373,118.565779532394,59.7193133447987,144.752503311758
2007-12-01,93.8269271850586,139.53775788632234,169.044789247592,196.218767313965,141.4107261399,214.467358898475
2008-01-01,142.80523681640625,151.19423579120877,124.290250790709,186.059303653596,141.691918493224,203.116922375581
2008-02-01,157.7542724609375,133.711710187979,123.221199087694,179.624457647195,98.0143915131674,164.408489879655
2008-03-01,174.01171875,150.17798411114939,192.711496644691,228.805552911673,122.427397680992,272.280967127155
2008-04-01,145.51449584960938,153.87719431020042,134.844329802509,212.563717699943,165.51309348436,228.167568105696
2008-05-01,100.68357849121094,132.2660152519765,57.7246823292153,155.827214535609,67.3308253901053,124.544996958369
2008-06-01,157.01193237304688,152.6328598567044,145.35674452209,222.584323215829,179.855510961257,213.049521853235
